probe_number,X,Y,Z,checkerboard_number
13,-79.41176470588236,-285.0,1000,12
19,26.47058823529412,-285.0,1000,12
23,97.05882352941177,-285.0,1000,12
26,150.0,-285.0,1000,12
31,238.23529411764707,-285.0,1000,12
35,-291.1764705882353,-255.0,1000,12
37,-255.8823529411765,-255.0,1000,12
45,-114.70588235294119,-255.0,1000,12
47,-79.41176470588236,-255.0,1000,12
50,-26.47058823529412,-255.0,1000,12
51,-8.823529411764707,-255.0,1000,12
56,79.41176470588236,-255.0,1000,12
57,97.05882352941177,-255.0,1000,12
61,167.64705882352942,-255.0,1000,12
66,255.8823529411765,-255.0,1000,12
68,291.1764705882353,-255.0,1000,12
70,-273.5294117647059,-225.0,1000,12
72,-238.23529411764707,-225.0,1000,12
76,-167.64705882352942,-225.0,1000,12
82,-61.76470588235294,-225.0,1000,12
85,-8.823529411764707,-225.0,1000,12
90,79.41176470588236,-225.0,1000,12
94,150.0,-225.0,1000,12
104,-273.5294117647059,-195.0,1000,12
105,-255.8823529411765,-195.0,1000,12
111,-150.0,-195.0,1000,12
115,-79.41176470588236,-195.0,1000,12
119,-8.823529411764707,-195.0,1000,12
129,167.64705882352942,-195.0,1000,12
130,185.29411764705884,-195.0,1000,12
133,238.23529411764707,-195.0,1000,12
134,255.8823529411765,-195.0,1000,12
136,291.1764705882353,-195.0,1000,12
139,-255.8823529411765,-165.0,1000,12
145,-150.0,-165.0,1000,12
148,-97.05882352941177,-165.0,1000,12
150,-61.76470588235294,-165.0,1000,12
151,-44.11764705882353,-165.0,1000,12
153,-8.823529411764707,-165.0,1000,12
161,132.3529411764706,-165.0,1000,12
163,167.64705882352942,-165.0,1000,12
167,238.23529411764707,-165.0,1000,12
186,-26.47058823529412,-135.0,1000,12
189,26.47058823529412,-135.0,1000,12
190,44.11764705882353,-135.0,1000,12
194,114.70588235294119,-135.0,1000,12
208,-238.23529411764707,-105.0,1000,12
209,-220.58823529411765,-105.0,1000,12
214,-132.3529411764706,-105.0,1000,12
220,-26.47058823529412,-105.0,1000,12
223,26.47058823529412,-105.0,1000,12
224,44.11764705882353,-105.0,1000,12
226,79.41176470588236,-105.0,1000,12
227,97.05882352941177,-105.0,1000,12
231,167.64705882352942,-105.0,1000,12
234,220.58823529411765,-105.0,1000,12
237,273.5294117647059,-105.0,1000,12
244,-202.94117647058826,-75.0,1000,12
245,-185.29411764705884,-75.0,1000,12
256,8.823529411764707,-75.0,1000,12
264,150.0,-75.0,1000,12
265,167.64705882352942,-75.0,1000,12
267,202.94117647058826,-75.0,1000,12
271,273.5294117647059,-75.0,1000,12
273,-291.1764705882353,-45.0,1000,12
276,-238.23529411764707,-45.0,1000,12
281,-150.0,-45.0,1000,12
282,-132.3529411764706,-45.0,1000,12
284,-97.05882352941177,-45.0,1000,12
286,-61.76470588235294,-45.0,1000,12
288,-26.47058823529412,-45.0,1000,12
290,8.823529411764707,-45.0,1000,12
291,26.47058823529412,-45.0,1000,12
298,150.0,-45.0,1000,12
299,167.64705882352942,-45.0,1000,12
300,185.29411764705884,-45.0,1000,12
303,238.23529411764707,-45.0,1000,12
305,273.5294117647059,-45.0,1000,12
308,-273.5294117647059,-15.0,1000,12
323,-8.823529411764707,-15.0,1000,12
327,61.76470588235294,-15.0,1000,12
328,79.41176470588236,-15.0,1000,12
332,150.0,-15.0,1000,12
334,185.29411764705884,-15.0,1000,12
335,202.94117647058826,-15.0,1000,12
