probe_number,X,Y,Z,checkerboard_number
1,-291.1764705882353,-285.0,1000,8
3,-255.8823529411765,-285.0,1000,8
19,26.47058823529412,-285.0,1000,8
20,44.11764705882353,-285.0,1000,8
26,150.0,-285.0,1000,8
37,-255.8823529411765,-255.0,1000,8
47,-79.41176470588236,-255.0,1000,8
67,273.5294117647059,-255.0,1000,8
71,-255.8823529411765,-225.0,1000,8
72,-238.23529411764707,-225.0,1000,8
88,44.11764705882353,-225.0,1000,8
93,132.3529411764706,-225.0,1000,8
104,-273.5294117647059,-195.0,1000,8
107,-220.58823529411765,-195.0,1000,8
115,-79.41176470588236,-195.0,1000,8
125,97.05882352941177,-195.0,1000,8
129,167.64705882352942,-195.0,1000,8
133,238.23529411764707,-195.0,1000,8
134,255.8823529411765,-195.0,1000,8
138,-273.5294117647059,-165.0,1000,8
142,-202.94117647058826,-165.0,1000,8
147,-114.70588235294119,-165.0,1000,8
149,-79.41176470588236,-165.0,1000,8
152,-26.47058823529412,-165.0,1000,8
154,8.823529411764707,-165.0,1000,8
166,220.58823529411765,-165.0,1000,8
175,-220.58823529411765,-135.0,1000,8
179,-150.0,-135.0,1000,8
185,-44.11764705882353,-135.0,1000,8
186,-26.47058823529412,-135.0,1000,8
193,97.05882352941177,-135.0,1000,8
197,167.64705882352942,-135.0,1000,8
198,185.29411764705884,-135.0,1000,8
215,-114.70588235294119,-105.0,1000,8
222,8.823529411764707,-105.0,1000,8
223,26.47058823529412,-105.0,1000,8
231,167.64705882352942,-105.0,1000,8
239,-291.1764705882353,-75.0,1000,8
242,-238.23529411764707,-75.0,1000,8
245,-185.29411764705884,-75.0,1000,8
249,-114.70588235294119,-75.0,1000,8
254,-26.47058823529412,-75.0,1000,8
255,-8.823529411764707,-75.0,1000,8
267,202.94117647058826,-75.0,1000,8
268,220.58823529411765,-75.0,1000,8
273,-291.1764705882353,-45.0,1000,8
292,44.11764705882353,-45.0,1000,8
299,167.64705882352942,-45.0,1000,8
302,220.58823529411765,-45.0,1000,8
303,238.23529411764707,-45.0,1000,8
306,291.1764705882353,-45.0,1000,8
307,-291.1764705882353,-15.0,1000,8
309,-255.8823529411765,-15.0,1000,8
312,-202.94117647058826,-15.0,1000,8
313,-185.29411764705884,-15.0,1000,8
321,-44.11764705882353,-15.0,1000,8
336,220.58823529411765,-15.0,1000,8
338,255.8823529411765,-15.0,1000,8
339,273.5294117647059,-15.0,1000,8
341,-291.1764705882353,15.0,1000,8
344,-238.23529411764707,15.0,1000,8
356,-26.47058823529412,15.0,1000,8
358,8.823529411764707,15.0,1000,8
368,185.29411764705884,15.0,1000,8
371,238.23529411764707,15.0,1000,8
389,-44.11764705882353,45.0,1000,8
400,150.0,45.0,1000,8
402,185.29411764705884,45.0,1000,8
403,202.94117647058826,45.0,1000,8
408,291.1764705882353,45.0,1000,8
412,-238.23529411764707,75.0,1000,8
415,-185.29411764705884,75.0,1000,8
420,-97.05882352941177,75.0,1000,8
422,-61.76470588235294,75.0,1000,8
426,8.823529411764707,75.0,1000,8
435,167.64705882352942,75.0,1000,8
442,291.1764705882353,75.0,1000,8
449,-185.29411764705884,105.0,1000,8
455,-79.41176470588236,105.0,1000,8
456,-61.76470588235294,105.0,1000,8
462,44.11764705882353,105.0,1000,8
470,185.29411764705884,105.0,1000,8
474,255.8823529411765,105.0,1000,8
478,-273.5294117647059,135.0,1000,8
489,-79.41176470588236,135.0,1000,8
490,-61.76470588235294,135.0,1000,8
492,-26.47058823529412,135.0,1000,8
497,61.76470588235294,135.0,1000,8
508,255.8823529411765,135.0,1000,8
510,291.1764705882353,135.0,1000,8
519,-150.0,165.0,1000,8
520,-132.3529411764706,165.0,1000,8
522,-97.05882352941177,165.0,1000,8
525,-44.11764705882353,165.0,1000,8
532,79.41176470588236,165.0,1000,8
538,185.29411764705884,165.0,1000,8
580,-273.5294117647059,225.0,1000,8
584,-202.94117647058826,225.0,1000,8
585,-185.29411764705884,225.0,1000,8
586,-167.64705882352942,225.0,1000,8
591,-79.41176470588236,225.0,1000,8
598,44.11764705882353,225.0,1000,8
600,79.41176470588236,225.0,1000,8
602,114.70588235294119,225.0,1000,8
610,255.8823529411765,225.0,1000,8
613,-291.1764705882353,255.0,1000,8
615,-255.8823529411765,255.0,1000,8
632,44.11764705882353,255.0,1000,8
633,61.76470588235294,255.0,1000,8
643,238.23529411764707,255.0,1000,8
644,255.8823529411765,255.0,1000,8
647,-291.1764705882353,285.0,1000,8
653,-185.29411764705884,285.0,1000,8
658,-97.05882352941177,285.0,1000,8
674,185.29411764705884,285.0,1000,8
677,238.23529411764707,285.0,1000,8
679,273.5294117647059,285.0,1000,8
680,291.1764705882353,285.0,1000,8
