probe_number,X,Y,Z,checkerboard_number
3,-255.8823529411765,-285.0,1000,9
8,-167.64705882352942,-285.0,1000,9
9,-150.0,-285.0,1000,9
21,61.76470588235294,-285.0,1000,9
31,238.23529411764707,-285.0,1000,9
35,-291.1764705882353,-255.0,1000,9
37,-255.8823529411765,-255.0,1000,9
38,-238.23529411764707,-255.0,1000,9
44,-132.3529411764706,-255.0,1000,9
48,-61.76470588235294,-255.0,1000,9
57,97.05882352941177,-255.0,1000,9
64,220.58823529411765,-255.0,1000,9
71,-255.8823529411765,-225.0,1000,9
74,-202.94117647058826,-225.0,1000,9
76,-167.64705882352942,-225.0,1000,9
77,-150.0,-225.0,1000,9
79,-114.70588235294119,-225.0,1000,9
86,8.823529411764707,-225.0,1000,9
89,61.76470588235294,-225.0,1000,9
90,79.41176470588236,-225.0,1000,9
93,132.3529411764706,-225.0,1000,9
96,185.29411764705884,-225.0,1000,9
99,238.23529411764707,-225.0,1000,9
104,-273.5294117647059,-195.0,1000,9
114,-97.05882352941177,-195.0,1000,9
135,273.5294117647059,-195.0,1000,9
136,291.1764705882353,-195.0,1000,9
142,-202.94117647058826,-165.0,1000,9
144,-167.64705882352942,-165.0,1000,9
154,8.823529411764707,-165.0,1000,9
155,26.47058823529412,-165.0,1000,9
160,114.70588235294119,-165.0,1000,9
165,202.94117647058826,-165.0,1000,9
192,79.41176470588236,-135.0,1000,9
193,97.05882352941177,-135.0,1000,9
207,-255.8823529411765,-105.0,1000,9
211,-185.29411764705884,-105.0,1000,9
213,-150.0,-105.0,1000,9
218,-61.76470588235294,-105.0,1000,9
221,-8.823529411764707,-105.0,1000,9
223,26.47058823529412,-105.0,1000,9
225,61.76470588235294,-105.0,1000,9
229,132.3529411764706,-105.0,1000,9
238,291.1764705882353,-105.0,1000,9
240,-273.5294117647059,-75.0,1000,9
252,-61.76470588235294,-75.0,1000,9
257,26.47058823529412,-75.0,1000,9
269,238.23529411764707,-75.0,1000,9
275,-255.8823529411765,-45.0,1000,9
282,-132.3529411764706,-45.0,1000,9
283,-114.70588235294119,-45.0,1000,9
289,-8.823529411764707,-45.0,1000,9
297,132.3529411764706,-45.0,1000,9
304,255.8823529411765,-45.0,1000,9
310,-238.23529411764707,-15.0,1000,9
312,-202.94117647058826,-15.0,1000,9
317,-114.70588235294119,-15.0,1000,9
318,-97.05882352941177,-15.0,1000,9
320,-61.76470588235294,-15.0,1000,9
321,-44.11764705882353,-15.0,1000,9
333,167.64705882352942,-15.0,1000,9
334,185.29411764705884,-15.0,1000,9
341,-291.1764705882353,15.0,1000,9
343,-255.8823529411765,15.0,1000,9
348,-167.64705882352942,15.0,1000,9
350,-132.3529411764706,15.0,1000,9
359,26.47058823529412,15.0,1000,9
362,79.41176470588236,15.0,1000,9
363,97.05882352941177,15.0,1000,9
365,132.3529411764706,15.0,1000,9
372,255.8823529411765,15.0,1000,9
373,273.5294117647059,15.0,1000,9
386,-97.05882352941177,45.0,1000,9
396,79.41176470588236,45.0,1000,9
398,114.70588235294119,45.0,1000,9
401,167.64705882352942,45.0,1000,9
407,273.5294117647059,45.0,1000,9
413,-220.58823529411765,75.0,1000,9
420,-97.05882352941177,75.0,1000,9
423,-44.11764705882353,75.0,1000,9
430,79.41176470588236,75.0,1000,9
434,150.0,75.0,1000,9
458,-26.47058823529412,105.0,1000,9
462,44.11764705882353,105.0,1000,9
464,79.41176470588236,105.0,1000,9
467,132.3529411764706,105.0,1000,9
479,-255.8823529411765,135.0,1000,9
480,-238.23529411764707,135.0,1000,9
485,-150.0,135.0,1000,9
487,-114.70588235294119,135.0,1000,9
488,-97.05882352941177,135.0,1000,9
493,-8.823529411764707,135.0,1000,9
494,8.823529411764707,135.0,1000,9
498,79.41176470588236,135.0,1000,9
501,132.3529411764706,135.0,1000,9
507,238.23529411764707,135.0,1000,9
512,-273.5294117647059,165.0,1000,9
523,-79.41176470588236,165.0,1000,9
525,-44.11764705882353,165.0,1000,9
533,97.05882352941177,165.0,1000,9
541,238.23529411764707,165.0,1000,9
542,255.8823529411765,165.0,1000,9
544,291.1764705882353,165.0,1000,9
546,-273.5294117647059,195.0,1000,9
551,-185.29411764705884,195.0,1000,9
553,-150.0,195.0,1000,9
554,-132.3529411764706,195.0,1000,9
556,-97.05882352941177,195.0,1000,9
559,-44.11764705882353,195.0,1000,9
561,-8.823529411764707,195.0,1000,9
572,185.29411764705884,195.0,1000,9
573,202.94117647058826,195.0,1000,9
575,238.23529411764707,195.0,1000,9
580,-273.5294117647059,225.0,1000,9
581,-255.8823529411765,225.0,1000,9
583,-220.58823529411765,225.0,1000,9
591,-79.41176470588236,225.0,1000,9
597,26.47058823529412,225.0,1000,9
598,44.11764705882353,225.0,1000,9
603,132.3529411764706,225.0,1000,9
618,-202.94117647058826,255.0,1000,9
619,-185.29411764705884,255.0,1000,9
620,-167.64705882352942,255.0,1000,9
621,-150.0,255.0,1000,9
626,-61.76470588235294,255.0,1000,9
643,238.23529411764707,255.0,1000,9
644,255.8823529411765,255.0,1000,9
655,-150.0,285.0,1000,9
664,8.823529411764707,285.0,1000,9
665,26.47058823529412,285.0,1000,9
