probe_number,X,Y,Z,checkerboard_number
1,-291.1764705882353,-285.0,1000,18
11,-114.70588235294119,-285.0,1000,18
15,-44.11764705882353,-285.0,1000,18
19,26.47058823529412,-285.0,1000,18
23,97.05882352941177,-285.0,1000,18
26,150.0,-285.0,1000,18
30,220.58823529411765,-285.0,1000,18
36,-273.5294117647059,-255.0,1000,18
66,255.8823529411765,-255.0,1000,18
67,273.5294117647059,-255.0,1000,18
68,291.1764705882353,-255.0,1000,18
79,-114.70588235294119,-225.0,1000,18
82,-61.76470588235294,-225.0,1000,18
86,8.823529411764707,-225.0,1000,18
91,97.05882352941177,-225.0,1000,18
94,150.0,-225.0,1000,18
101,273.5294117647059,-225.0,1000,18
109,-185.29411764705884,-195.0,1000,18
110,-167.64705882352942,-195.0,1000,18
126,114.70588235294119,-195.0,1000,18
129,167.64705882352942,-195.0,1000,18
131,202.94117647058826,-195.0,1000,18
146,-132.3529411764706,-165.0,1000,18
147,-114.70588235294119,-165.0,1000,18
148,-97.05882352941177,-165.0,1000,18
149,-79.41176470588236,-165.0,1000,18
155,26.47058823529412,-165.0,1000,18
156,44.11764705882353,-165.0,1000,18
187,-8.823529411764707,-135.0,1000,18
188,8.823529411764707,-135.0,1000,18
191,61.76470588235294,-135.0,1000,18
193,97.05882352941177,-135.0,1000,18
196,150.0,-135.0,1000,18
207,-255.8823529411765,-105.0,1000,18
210,-202.94117647058826,-105.0,1000,18
211,-185.29411764705884,-105.0,1000,18
213,-150.0,-105.0,1000,18
217,-79.41176470588236,-105.0,1000,18
220,-26.47058823529412,-105.0,1000,18
226,79.41176470588236,-105.0,1000,18
234,220.58823529411765,-105.0,1000,18
236,255.8823529411765,-105.0,1000,18
237,273.5294117647059,-105.0,1000,18
241,-255.8823529411765,-75.0,1000,18
249,-114.70588235294119,-75.0,1000,18
250,-97.05882352941177,-75.0,1000,18
260,79.41176470588236,-75.0,1000,18
266,185.29411764705884,-75.0,1000,18
274,-273.5294117647059,-45.0,1000,18
283,-114.70588235294119,-45.0,1000,18
289,-8.823529411764707,-45.0,1000,18
293,61.76470588235294,-45.0,1000,18
294,79.41176470588236,-45.0,1000,18
301,202.94117647058826,-45.0,1000,18
302,220.58823529411765,-45.0,1000,18
312,-202.94117647058826,-15.0,1000,18
314,-167.64705882352942,-15.0,1000,18
316,-132.3529411764706,-15.0,1000,18
327,61.76470588235294,-15.0,1000,18
332,150.0,-15.0,1000,18
344,-238.23529411764707,15.0,1000,18
346,-202.94117647058826,15.0,1000,18
348,-167.64705882352942,15.0,1000,18
350,-132.3529411764706,15.0,1000,18
358,8.823529411764707,15.0,1000,18
361,61.76470588235294,15.0,1000,18
363,97.05882352941177,15.0,1000,18
364,114.70588235294119,15.0,1000,18
368,185.29411764705884,15.0,1000,18
378,-238.23529411764707,45.0,1000,18
390,-26.47058823529412,45.0,1000,18
391,-8.823529411764707,45.0,1000,18
394,44.11764705882353,45.0,1000,18
397,97.05882352941177,45.0,1000,18
415,-185.29411764705884,75.0,1000,18
417,-150.0,75.0,1000,18
418,-132.3529411764706,75.0,1000,18
423,-44.11764705882353,75.0,1000,18
428,44.11764705882353,75.0,1000,18
438,220.58823529411765,75.0,1000,18
451,-150.0,105.0,1000,18
455,-79.41176470588236,105.0,1000,18
470,185.29411764705884,105.0,1000,18
479,-255.8823529411765,135.0,1000,18
483,-185.29411764705884,135.0,1000,18
486,-132.3529411764706,135.0,1000,18
488,-97.05882352941177,135.0,1000,18
489,-79.41176470588236,135.0,1000,18
493,-8.823529411764707,135.0,1000,18
494,8.823529411764707,135.0,1000,18
495,26.47058823529412,135.0,1000,18
497,61.76470588235294,135.0,1000,18
500,114.70588235294119,135.0,1000,18
503,167.64705882352942,135.0,1000,18
508,255.8823529411765,135.0,1000,18
516,-202.94117647058826,165.0,1000,18
518,-167.64705882352942,165.0,1000,18
523,-79.41176470588236,165.0,1000,18
525,-44.11764705882353,165.0,1000,18
526,-26.47058823529412,165.0,1000,18
528,8.823529411764707,165.0,1000,18
532,79.41176470588236,165.0,1000,18
543,273.5294117647059,165.0,1000,18
544,291.1764705882353,165.0,1000,18
546,-273.5294117647059,195.0,1000,18
548,-238.23529411764707,195.0,1000,18
574,220.58823529411765,195.0,1000,18
579,-291.1764705882353,225.0,1000,18
587,-150.0,225.0,1000,18
588,-132.3529411764706,225.0,1000,18
590,-97.05882352941177,225.0,1000,18
602,114.70588235294119,225.0,1000,18
603,132.3529411764706,225.0,1000,18
613,-291.1764705882353,255.0,1000,18
615,-255.8823529411765,255.0,1000,18
622,-132.3529411764706,255.0,1000,18
623,-114.70588235294119,255.0,1000,18
625,-79.41176470588236,255.0,1000,18
626,-61.76470588235294,255.0,1000,18
647,-291.1764705882353,285.0,1000,18
655,-150.0,285.0,1000,18
659,-79.41176470588236,285.0,1000,18
661,-44.11764705882353,285.0,1000,18
662,-26.47058823529412,285.0,1000,18
664,8.823529411764707,285.0,1000,18
680,291.1764705882353,285.0,1000,18
