probe_number,X,Y,Z,checkerboard_number
2,-273.5294117647059,-285.0,1000,17
3,-255.8823529411765,-285.0,1000,17
13,-79.41176470588236,-285.0,1000,17
20,44.11764705882353,-285.0,1000,17
25,132.3529411764706,-285.0,1000,17
28,185.29411764705884,-285.0,1000,17
35,-291.1764705882353,-255.0,1000,17
41,-185.29411764705884,-255.0,1000,17
46,-97.05882352941177,-255.0,1000,17
47,-79.41176470588236,-255.0,1000,17
49,-44.11764705882353,-255.0,1000,17
67,273.5294117647059,-255.0,1000,17
72,-238.23529411764707,-225.0,1000,17
84,-26.47058823529412,-225.0,1000,17
87,26.47058823529412,-225.0,1000,17
91,97.05882352941177,-225.0,1000,17
96,185.29411764705884,-225.0,1000,17
97,202.94117647058826,-225.0,1000,17
100,255.8823529411765,-225.0,1000,17
106,-238.23529411764707,-195.0,1000,17
108,-202.94117647058826,-195.0,1000,17
119,-8.823529411764707,-195.0,1000,17
120,8.823529411764707,-195.0,1000,17
121,26.47058823529412,-195.0,1000,17
123,61.76470588235294,-195.0,1000,17
129,167.64705882352942,-195.0,1000,17
134,255.8823529411765,-195.0,1000,17
137,-291.1764705882353,-165.0,1000,17
138,-273.5294117647059,-165.0,1000,17
150,-61.76470588235294,-165.0,1000,17
154,8.823529411764707,-165.0,1000,17
160,114.70588235294119,-165.0,1000,17
161,132.3529411764706,-165.0,1000,17
163,167.64705882352942,-165.0,1000,17
171,-291.1764705882353,-135.0,1000,17
176,-202.94117647058826,-135.0,1000,17
177,-185.29411764705884,-135.0,1000,17
179,-150.0,-135.0,1000,17
182,-97.05882352941177,-135.0,1000,17
185,-44.11764705882353,-135.0,1000,17
190,44.11764705882353,-135.0,1000,17
197,167.64705882352942,-135.0,1000,17
207,-255.8823529411765,-105.0,1000,17
208,-238.23529411764707,-105.0,1000,17
211,-185.29411764705884,-105.0,1000,17
216,-97.05882352941177,-105.0,1000,17
223,26.47058823529412,-105.0,1000,17
225,61.76470588235294,-105.0,1000,17
231,167.64705882352942,-105.0,1000,17
