probe_number,X,Y,Z,checkerboard_number
5,-220.58823529411765,-285.0,1000,10
6,-202.94117647058826,-285.0,1000,10
8,-167.64705882352942,-285.0,1000,10
10,-132.3529411764706,-285.0,1000,10
20,44.11764705882353,-285.0,1000,10
25,132.3529411764706,-285.0,1000,10
35,-291.1764705882353,-255.0,1000,10
38,-238.23529411764707,-255.0,1000,10
42,-167.64705882352942,-255.0,1000,10
49,-44.11764705882353,-255.0,1000,10
53,26.47058823529412,-255.0,1000,10
58,114.70588235294119,-255.0,1000,10
68,291.1764705882353,-255.0,1000,10
70,-273.5294117647059,-225.0,1000,10
77,-150.0,-225.0,1000,10
78,-132.3529411764706,-225.0,1000,10
80,-97.05882352941177,-225.0,1000,10
81,-79.41176470588236,-225.0,1000,10
82,-61.76470588235294,-225.0,1000,10
91,97.05882352941177,-225.0,1000,10
92,114.70588235294119,-225.0,1000,10
96,185.29411764705884,-225.0,1000,10
99,238.23529411764707,-225.0,1000,10
101,273.5294117647059,-225.0,1000,10
107,-220.58823529411765,-195.0,1000,10
111,-150.0,-195.0,1000,10
115,-79.41176470588236,-195.0,1000,10
126,114.70588235294119,-195.0,1000,10
132,220.58823529411765,-195.0,1000,10
133,238.23529411764707,-195.0,1000,10
134,255.8823529411765,-195.0,1000,10
145,-150.0,-165.0,1000,10
152,-26.47058823529412,-165.0,1000,10
157,61.76470588235294,-165.0,1000,10
162,150.0,-165.0,1000,10
163,167.64705882352942,-165.0,1000,10
166,220.58823529411765,-165.0,1000,10
169,273.5294117647059,-165.0,1000,10
170,291.1764705882353,-165.0,1000,10
172,-273.5294117647059,-135.0,1000,10
176,-202.94117647058826,-135.0,1000,10
178,-167.64705882352942,-135.0,1000,10
182,-97.05882352941177,-135.0,1000,10
184,-61.76470588235294,-135.0,1000,10
194,114.70588235294119,-135.0,1000,10
200,220.58823529411765,-135.0,1000,10
201,238.23529411764707,-135.0,1000,10
208,-238.23529411764707,-105.0,1000,10
212,-167.64705882352942,-105.0,1000,10
215,-114.70588235294119,-105.0,1000,10
226,79.41176470588236,-105.0,1000,10
228,114.70588235294119,-105.0,1000,10
234,220.58823529411765,-105.0,1000,10
235,238.23529411764707,-105.0,1000,10
239,-291.1764705882353,-75.0,1000,10
245,-185.29411764705884,-75.0,1000,10
247,-150.0,-75.0,1000,10
248,-132.3529411764706,-75.0,1000,10
249,-114.70588235294119,-75.0,1000,10
254,-26.47058823529412,-75.0,1000,10
260,79.41176470588236,-75.0,1000,10
262,114.70588235294119,-75.0,1000,10
264,150.0,-75.0,1000,10
266,185.29411764705884,-75.0,1000,10
267,202.94117647058826,-75.0,1000,10
268,220.58823529411765,-75.0,1000,10
270,255.8823529411765,-75.0,1000,10
275,-255.8823529411765,-45.0,1000,10
278,-202.94117647058826,-45.0,1000,10
279,-185.29411764705884,-45.0,1000,10
298,150.0,-45.0,1000,10
304,255.8823529411765,-45.0,1000,10
307,-291.1764705882353,-15.0,1000,10
309,-255.8823529411765,-15.0,1000,10
314,-167.64705882352942,-15.0,1000,10
315,-150.0,-15.0,1000,10
328,79.41176470588236,-15.0,1000,10
341,-291.1764705882353,15.0,1000,10
345,-220.58823529411765,15.0,1000,10
349,-150.0,15.0,1000,10
357,-8.823529411764707,15.0,1000,10
366,150.0,15.0,1000,10
369,202.94117647058826,15.0,1000,10
381,-185.29411764705884,45.0,1000,10
386,-97.05882352941177,45.0,1000,10
392,8.823529411764707,45.0,1000,10
393,26.47058823529412,45.0,1000,10
400,150.0,45.0,1000,10
402,185.29411764705884,45.0,1000,10
404,220.58823529411765,45.0,1000,10
409,-291.1764705882353,75.0,1000,10
410,-273.5294117647059,75.0,1000,10
420,-97.05882352941177,75.0,1000,10
421,-79.41176470588236,75.0,1000,10
429,61.76470588235294,75.0,1000,10
432,114.70588235294119,75.0,1000,10
433,132.3529411764706,75.0,1000,10
439,238.23529411764707,75.0,1000,10
441,273.5294117647059,75.0,1000,10
448,-202.94117647058826,105.0,1000,10
450,-167.64705882352942,105.0,1000,10
451,-150.0,105.0,1000,10
453,-114.70588235294119,105.0,1000,10
459,-8.823529411764707,105.0,1000,10
461,26.47058823529412,105.0,1000,10
469,167.64705882352942,105.0,1000,10
470,185.29411764705884,105.0,1000,10
477,-291.1764705882353,135.0,1000,10
482,-202.94117647058826,135.0,1000,10
484,-167.64705882352942,135.0,1000,10
485,-150.0,135.0,1000,10
486,-132.3529411764706,135.0,1000,10
487,-114.70588235294119,135.0,1000,10
489,-79.41176470588236,135.0,1000,10
490,-61.76470588235294,135.0,1000,10
491,-44.11764705882353,135.0,1000,10
495,26.47058823529412,135.0,1000,10
500,114.70588235294119,135.0,1000,10
502,150.0,135.0,1000,10
520,-132.3529411764706,165.0,1000,10
521,-114.70588235294119,165.0,1000,10
528,8.823529411764707,165.0,1000,10
529,26.47058823529412,165.0,1000,10
544,291.1764705882353,165.0,1000,10
545,-291.1764705882353,195.0,1000,10
551,-185.29411764705884,195.0,1000,10
556,-97.05882352941177,195.0,1000,10
557,-79.41176470588236,195.0,1000,10
562,8.823529411764707,195.0,1000,10
565,61.76470588235294,195.0,1000,10
566,79.41176470588236,195.0,1000,10
568,114.70588235294119,195.0,1000,10
569,132.3529411764706,195.0,1000,10
570,150.0,195.0,1000,10
574,220.58823529411765,195.0,1000,10
593,-44.11764705882353,225.0,1000,10
604,150.0,225.0,1000,10
608,220.58823529411765,225.0,1000,10
609,238.23529411764707,225.0,1000,10
621,-150.0,255.0,1000,10
625,-79.41176470588236,255.0,1000,10
628,-26.47058823529412,255.0,1000,10
629,-8.823529411764707,255.0,1000,10
631,26.47058823529412,255.0,1000,10
643,238.23529411764707,255.0,1000,10
644,255.8823529411765,255.0,1000,10
646,291.1764705882353,255.0,1000,10
654,-167.64705882352942,285.0,1000,10
656,-132.3529411764706,285.0,1000,10
680,291.1764705882353,285.0,1000,10
