,probe_number,X,Y,Z
211,303,238.23529411764707,-45.0,1000
212,316,-132.3529411764706,-15.0,1000
213,321,-44.11764705882353,-15.0,1000
214,331,132.3529411764706,-15.0,1000
215,333,167.64705882352942,-15.0,1000
216,342,-273.5294117647059,15.0,1000
217,346,-202.94117647058823,15.0,1000
218,348,-167.64705882352942,15.0,1000
219,365,132.3529411764706,15.0,1000
220,378,-238.23529411764707,45.0,1000
221,387,-79.41176470588236,45.0,1000
222,395,61.76470588235294,45.0,1000
223,404,220.58823529411765,45.0,1000
224,410,-273.5294117647059,75.0,1000
225,432,114.7058823529412,75.0,1000
226,449,-185.29411764705884,105.0,1000
227,451,-150.0,105.0,1000
228,457,-44.11764705882353,105.0,1000
229,463,61.76470588235294,105.0,1000
230,464,79.41176470588236,105.0,1000
231,468,150.0,105.0,1000
232,473,238.23529411764707,105.0,1000
233,475,273.5294117647059,105.0,1000
234,476,291.1764705882353,105.0,1000
235,496,44.11764705882353,135.0,1000
236,504,185.29411764705884,135.0,1000
237,505,202.94117647058823,135.0,1000
238,507,238.23529411764707,135.0,1000
239,516,-202.94117647058823,165.0,1000
240,521,-114.7058823529412,165.0,1000
241,524,-61.76470588235294,165.0,1000
242,525,-44.11764705882353,165.0,1000
243,526,-26.47058823529412,165.0,1000
244,530,44.11764705882353,165.0,1000
245,538,185.29411764705884,165.0,1000
246,540,220.58823529411765,165.0,1000
247,541,238.23529411764707,165.0,1000
248,545,-291.1764705882353,195.0,1000
249,547,-255.8823529411765,195.0,1000
250,551,-185.29411764705884,195.0,1000
251,556,-97.05882352941175,195.0,1000
252,558,-61.76470588235294,195.0,1000
253,560,-26.47058823529412,195.0,1000
254,567,97.05882352941175,195.0,1000
255,574,220.58823529411765,195.0,1000
256,577,273.5294117647059,195.0,1000
257,585,-185.29411764705884,225.0,1000
258,590,-97.05882352941175,225.0,1000
259,596,8.823529411764707,225.0,1000
260,598,44.11764705882353,225.0,1000
261,600,79.41176470588236,225.0,1000
262,606,185.29411764705884,225.0,1000
