probe_number,X,Y,Z,checkerboard_number
6,-202.94117647058826,-285.0,1000,6
19,26.47058823529412,-285.0,1000,6
25,132.3529411764706,-285.0,1000,6
27,167.64705882352942,-285.0,1000,6
37,-255.8823529411765,-255.0,1000,6
39,-220.58823529411765,-255.0,1000,6
41,-185.29411764705884,-255.0,1000,6
58,114.70588235294119,-255.0,1000,6
60,150.0,-255.0,1000,6
61,167.64705882352942,-255.0,1000,6
63,202.94117647058826,-255.0,1000,6
66,255.8823529411765,-255.0,1000,6
68,291.1764705882353,-255.0,1000,6
79,-114.70588235294119,-225.0,1000,6
81,-79.41176470588236,-225.0,1000,6
93,132.3529411764706,-225.0,1000,6
95,167.64705882352942,-225.0,1000,6
97,202.94117647058826,-225.0,1000,6
99,238.23529411764707,-225.0,1000,6
101,273.5294117647059,-225.0,1000,6
104,-273.5294117647059,-195.0,1000,6
108,-202.94117647058826,-195.0,1000,6
112,-132.3529411764706,-195.0,1000,6
116,-61.76470588235294,-195.0,1000,6
121,26.47058823529412,-195.0,1000,6
125,97.05882352941177,-195.0,1000,6
134,255.8823529411765,-195.0,1000,6
137,-291.1764705882353,-165.0,1000,6
138,-273.5294117647059,-165.0,1000,6
141,-220.58823529411765,-165.0,1000,6
147,-114.70588235294119,-165.0,1000,6
148,-97.05882352941177,-165.0,1000,6
150,-61.76470588235294,-165.0,1000,6
152,-26.47058823529412,-165.0,1000,6
159,97.05882352941177,-165.0,1000,6
173,-255.8823529411765,-135.0,1000,6
177,-185.29411764705884,-135.0,1000,6
179,-150.0,-135.0,1000,6
186,-26.47058823529412,-135.0,1000,6
194,114.70588235294119,-135.0,1000,6
195,132.3529411764706,-135.0,1000,6
197,167.64705882352942,-135.0,1000,6
199,202.94117647058826,-135.0,1000,6
210,-202.94117647058826,-105.0,1000,6
215,-114.70588235294119,-105.0,1000,6
231,167.64705882352942,-105.0,1000,6
235,238.23529411764707,-105.0,1000,6
237,273.5294117647059,-105.0,1000,6
243,-220.58823529411765,-75.0,1000,6
246,-167.64705882352942,-75.0,1000,6
255,-8.823529411764707,-75.0,1000,6
261,97.05882352941177,-75.0,1000,6
265,167.64705882352942,-75.0,1000,6
266,185.29411764705884,-75.0,1000,6
275,-255.8823529411765,-45.0,1000,6
285,-79.41176470588236,-45.0,1000,6
290,8.823529411764707,-45.0,1000,6
291,26.47058823529412,-45.0,1000,6
305,273.5294117647059,-45.0,1000,6
308,-273.5294117647059,-15.0,1000,6
309,-255.8823529411765,-15.0,1000,6
316,-132.3529411764706,-15.0,1000,6
318,-97.05882352941177,-15.0,1000,6
321,-44.11764705882353,-15.0,1000,6
327,61.76470588235294,-15.0,1000,6
328,79.41176470588236,-15.0,1000,6
331,132.3529411764706,-15.0,1000,6
335,202.94117647058826,-15.0,1000,6
343,-255.8823529411765,15.0,1000,6
346,-202.94117647058826,15.0,1000,6
349,-150.0,15.0,1000,6
352,-97.05882352941177,15.0,1000,6
357,-8.823529411764707,15.0,1000,6
358,8.823529411764707,15.0,1000,6
362,79.41176470588236,15.0,1000,6
372,255.8823529411765,15.0,1000,6
373,273.5294117647059,15.0,1000,6
378,-238.23529411764707,45.0,1000,6
383,-150.0,45.0,1000,6
384,-132.3529411764706,45.0,1000,6
389,-44.11764705882353,45.0,1000,6
392,8.823529411764707,45.0,1000,6
397,97.05882352941177,45.0,1000,6
400,150.0,45.0,1000,6
402,185.29411764705884,45.0,1000,6
405,238.23529411764707,45.0,1000,6
407,273.5294117647059,45.0,1000,6
408,291.1764705882353,45.0,1000,6
414,-202.94117647058826,75.0,1000,6
424,-26.47058823529412,75.0,1000,6
426,8.823529411764707,75.0,1000,6
431,97.05882352941177,75.0,1000,6
434,150.0,75.0,1000,6
441,273.5294117647059,75.0,1000,6
447,-220.58823529411765,105.0,1000,6
457,-44.11764705882353,105.0,1000,6
458,-26.47058823529412,105.0,1000,6
459,-8.823529411764707,105.0,1000,6
465,97.05882352941177,105.0,1000,6
469,167.64705882352942,105.0,1000,6
472,220.58823529411765,105.0,1000,6
474,255.8823529411765,105.0,1000,6
483,-185.29411764705884,135.0,1000,6
485,-150.0,135.0,1000,6
486,-132.3529411764706,135.0,1000,6
491,-44.11764705882353,135.0,1000,6
497,61.76470588235294,135.0,1000,6
507,238.23529411764707,135.0,1000,6
508,255.8823529411765,135.0,1000,6
510,291.1764705882353,135.0,1000,6
512,-273.5294117647059,165.0,1000,6
516,-202.94117647058826,165.0,1000,6
519,-150.0,165.0,1000,6
522,-97.05882352941177,165.0,1000,6
525,-44.11764705882353,165.0,1000,6
527,-8.823529411764707,165.0,1000,6
530,44.11764705882353,165.0,1000,6
532,79.41176470588236,165.0,1000,6
538,185.29411764705884,165.0,1000,6
542,255.8823529411765,165.0,1000,6
544,291.1764705882353,165.0,1000,6
548,-238.23529411764707,195.0,1000,6
552,-167.64705882352942,195.0,1000,6
553,-150.0,195.0,1000,6
556,-97.05882352941177,195.0,1000,6
563,26.47058823529412,195.0,1000,6
564,44.11764705882353,195.0,1000,6
566,79.41176470588236,195.0,1000,6
583,-220.58823529411765,225.0,1000,6
586,-167.64705882352942,225.0,1000,6
587,-150.0,225.0,1000,6
596,8.823529411764707,225.0,1000,6
598,44.11764705882353,225.0,1000,6
602,114.70588235294119,225.0,1000,6
604,150.0,225.0,1000,6
605,167.64705882352942,225.0,1000,6
610,255.8823529411765,225.0,1000,6
625,-79.41176470588236,255.0,1000,6
634,79.41176470588236,255.0,1000,6
635,97.05882352941177,255.0,1000,6
636,114.70588235294119,255.0,1000,6
639,167.64705882352942,255.0,1000,6
646,291.1764705882353,255.0,1000,6
653,-185.29411764705884,285.0,1000,6
654,-167.64705882352942,285.0,1000,6
670,114.70588235294119,285.0,1000,6
