probe_number,X,Y,Z,checkerboard_number
6,-202.94117647058826,-285.0,1000,12
8,-167.64705882352942,-285.0,1000,12
11,-114.70588235294119,-285.0,1000,12
12,-97.05882352941177,-285.0,1000,12
24,114.70588235294119,-285.0,1000,12
30,220.58823529411765,-285.0,1000,12
33,273.5294117647059,-285.0,1000,12
34,291.1764705882353,-285.0,1000,12
41,-185.29411764705884,-255.0,1000,12
42,-167.64705882352942,-255.0,1000,12
45,-114.70588235294119,-255.0,1000,12
65,238.23529411764707,-255.0,1000,12
69,-291.1764705882353,-225.0,1000,12
75,-185.29411764705884,-225.0,1000,12
83,-44.11764705882353,-225.0,1000,12
87,26.47058823529412,-225.0,1000,12
90,79.41176470588236,-225.0,1000,12
101,273.5294117647059,-225.0,1000,12
102,291.1764705882353,-225.0,1000,12
105,-255.8823529411765,-195.0,1000,12
106,-238.23529411764707,-195.0,1000,12
107,-220.58823529411765,-195.0,1000,12
114,-97.05882352941177,-195.0,1000,12
116,-61.76470588235294,-195.0,1000,12
117,-44.11764705882353,-195.0,1000,12
118,-26.47058823529412,-195.0,1000,12
121,26.47058823529412,-195.0,1000,12
124,79.41176470588236,-195.0,1000,12
125,97.05882352941177,-195.0,1000,12
130,185.29411764705884,-195.0,1000,12
133,238.23529411764707,-195.0,1000,12
135,273.5294117647059,-195.0,1000,12
136,291.1764705882353,-195.0,1000,12
139,-255.8823529411765,-165.0,1000,12
140,-238.23529411764707,-165.0,1000,12
141,-220.58823529411765,-165.0,1000,12
143,-185.29411764705884,-165.0,1000,12
155,26.47058823529412,-165.0,1000,12
159,97.05882352941177,-165.0,1000,12
166,220.58823529411765,-165.0,1000,12
173,-255.8823529411765,-135.0,1000,12
175,-220.58823529411765,-135.0,1000,12
180,-132.3529411764706,-135.0,1000,12
183,-79.41176470588236,-135.0,1000,12
192,79.41176470588236,-135.0,1000,12
197,167.64705882352942,-135.0,1000,12
198,185.29411764705884,-135.0,1000,12
202,255.8823529411765,-135.0,1000,12
203,273.5294117647059,-135.0,1000,12
205,-291.1764705882353,-105.0,1000,12
207,-255.8823529411765,-105.0,1000,12
208,-238.23529411764707,-105.0,1000,12
212,-167.64705882352942,-105.0,1000,12
217,-79.41176470588236,-105.0,1000,12
240,-273.5294117647059,-75.0,1000,12
243,-220.58823529411765,-75.0,1000,12
266,185.29411764705884,-75.0,1000,12
271,273.5294117647059,-75.0,1000,12
276,-238.23529411764707,-45.0,1000,12
278,-202.94117647058826,-45.0,1000,12
287,-44.11764705882353,-45.0,1000,12
290,8.823529411764707,-45.0,1000,12
291,26.47058823529412,-45.0,1000,12
296,114.70588235294119,-45.0,1000,12
300,185.29411764705884,-45.0,1000,12
305,273.5294117647059,-45.0,1000,12
310,-238.23529411764707,-15.0,1000,12
322,-26.47058823529412,-15.0,1000,12
326,44.11764705882353,-15.0,1000,12
333,167.64705882352942,-15.0,1000,12
338,255.8823529411765,-15.0,1000,12
340,291.1764705882353,-15.0,1000,12
365,132.3529411764706,15.0,1000,12
368,185.29411764705884,15.0,1000,12
369,202.94117647058826,15.0,1000,12
