probe_number,X,Y,Z,checkerboard_number
3,-255.8823529411765,-285.0,1000,7
15,-44.11764705882353,-285.0,1000,7
17,-8.823529411764707,-285.0,1000,7
19,26.47058823529412,-285.0,1000,7
22,79.41176470588236,-285.0,1000,7
26,150.0,-285.0,1000,7
39,-220.58823529411765,-255.0,1000,7
48,-61.76470588235294,-255.0,1000,7
51,-8.823529411764707,-255.0,1000,7
54,44.11764705882353,-255.0,1000,7
61,167.64705882352942,-255.0,1000,7
73,-220.58823529411765,-225.0,1000,7
86,8.823529411764707,-225.0,1000,7
87,26.47058823529412,-225.0,1000,7
92,114.70588235294119,-225.0,1000,7
94,150.0,-225.0,1000,7
100,255.8823529411765,-225.0,1000,7
101,273.5294117647059,-225.0,1000,7
115,-79.41176470588236,-195.0,1000,7
117,-44.11764705882353,-195.0,1000,7
120,8.823529411764707,-195.0,1000,7
126,114.70588235294119,-195.0,1000,7
129,167.64705882352942,-195.0,1000,7
135,273.5294117647059,-195.0,1000,7
137,-291.1764705882353,-165.0,1000,7
139,-255.8823529411765,-165.0,1000,7
147,-114.70588235294119,-165.0,1000,7
149,-79.41176470588236,-165.0,1000,7
151,-44.11764705882353,-165.0,1000,7
160,114.70588235294119,-165.0,1000,7
169,273.5294117647059,-165.0,1000,7
170,291.1764705882353,-165.0,1000,7
173,-255.8823529411765,-135.0,1000,7
176,-202.94117647058826,-135.0,1000,7
186,-26.47058823529412,-135.0,1000,7
190,44.11764705882353,-135.0,1000,7
191,61.76470588235294,-135.0,1000,7
194,114.70588235294119,-135.0,1000,7
214,-132.3529411764706,-105.0,1000,7
215,-114.70588235294119,-105.0,1000,7
227,97.05882352941177,-105.0,1000,7
228,114.70588235294119,-105.0,1000,7
229,132.3529411764706,-105.0,1000,7
231,167.64705882352942,-105.0,1000,7
233,202.94117647058826,-105.0,1000,7
234,220.58823529411765,-105.0,1000,7
241,-255.8823529411765,-75.0,1000,7
244,-202.94117647058826,-75.0,1000,7
246,-167.64705882352942,-75.0,1000,7
253,-44.11764705882353,-75.0,1000,7
257,26.47058823529412,-75.0,1000,7
258,44.11764705882353,-75.0,1000,7
259,61.76470588235294,-75.0,1000,7
265,167.64705882352942,-75.0,1000,7
267,202.94117647058826,-75.0,1000,7
270,255.8823529411765,-75.0,1000,7
276,-238.23529411764707,-45.0,1000,7
280,-167.64705882352942,-45.0,1000,7
284,-97.05882352941177,-45.0,1000,7
291,26.47058823529412,-45.0,1000,7
302,220.58823529411765,-45.0,1000,7
309,-255.8823529411765,-15.0,1000,7
327,61.76470588235294,-15.0,1000,7
328,79.41176470588236,-15.0,1000,7
333,167.64705882352942,-15.0,1000,7
341,-291.1764705882353,15.0,1000,7
349,-150.0,15.0,1000,7
352,-97.05882352941177,15.0,1000,7
355,-44.11764705882353,15.0,1000,7
357,-8.823529411764707,15.0,1000,7
365,132.3529411764706,15.0,1000,7
367,167.64705882352942,15.0,1000,7
371,238.23529411764707,15.0,1000,7
376,-273.5294117647059,45.0,1000,7
379,-220.58823529411765,45.0,1000,7
382,-167.64705882352942,45.0,1000,7
385,-114.70588235294119,45.0,1000,7
392,8.823529411764707,45.0,1000,7
394,44.11764705882353,45.0,1000,7
396,79.41176470588236,45.0,1000,7
403,202.94117647058826,45.0,1000,7
404,220.58823529411765,45.0,1000,7
409,-291.1764705882353,75.0,1000,7
419,-114.70588235294119,75.0,1000,7
420,-97.05882352941177,75.0,1000,7
424,-26.47058823529412,75.0,1000,7
427,26.47058823529412,75.0,1000,7
441,273.5294117647059,75.0,1000,7
447,-220.58823529411765,105.0,1000,7
448,-202.94117647058826,105.0,1000,7
457,-44.11764705882353,105.0,1000,7
460,8.823529411764707,105.0,1000,7
461,26.47058823529412,105.0,1000,7
468,150.0,105.0,1000,7
470,185.29411764705884,105.0,1000,7
479,-255.8823529411765,135.0,1000,7
483,-185.29411764705884,135.0,1000,7
484,-167.64705882352942,135.0,1000,7
487,-114.70588235294119,135.0,1000,7
492,-26.47058823529412,135.0,1000,7
493,-8.823529411764707,135.0,1000,7
501,132.3529411764706,135.0,1000,7
502,150.0,135.0,1000,7
516,-202.94117647058826,165.0,1000,7
518,-167.64705882352942,165.0,1000,7
522,-97.05882352941177,165.0,1000,7
523,-79.41176470588236,165.0,1000,7
525,-44.11764705882353,165.0,1000,7
537,167.64705882352942,165.0,1000,7
545,-291.1764705882353,195.0,1000,7
547,-255.8823529411765,195.0,1000,7
548,-238.23529411764707,195.0,1000,7
549,-220.58823529411765,195.0,1000,7
550,-202.94117647058826,195.0,1000,7
551,-185.29411764705884,195.0,1000,7
554,-132.3529411764706,195.0,1000,7
557,-79.41176470588236,195.0,1000,7
569,132.3529411764706,195.0,1000,7
576,255.8823529411765,195.0,1000,7
588,-132.3529411764706,225.0,1000,7
589,-114.70588235294119,225.0,1000,7
594,-26.47058823529412,225.0,1000,7
598,44.11764705882353,225.0,1000,7
608,220.58823529411765,225.0,1000,7
616,-238.23529411764707,255.0,1000,7
618,-202.94117647058826,255.0,1000,7
623,-114.70588235294119,255.0,1000,7
628,-26.47058823529412,255.0,1000,7
632,44.11764705882353,255.0,1000,7
641,202.94117647058826,255.0,1000,7
659,-79.41176470588236,285.0,1000,7
672,150.0,285.0,1000,7
675,202.94117647058826,285.0,1000,7
676,220.58823529411765,285.0,1000,7
