probe_number,X,Y,Z,checkerboard_number
1,-291.1764705882353,-285.0,1000,11
2,-273.5294117647059,-285.0,1000,11
5,-220.58823529411765,-285.0,1000,11
7,-185.29411764705884,-285.0,1000,11
9,-150.0,-285.0,1000,11
10,-132.3529411764706,-285.0,1000,11
25,132.3529411764706,-285.0,1000,11
26,150.0,-285.0,1000,11
37,-255.8823529411765,-255.0,1000,11
43,-150.0,-255.0,1000,11
44,-132.3529411764706,-255.0,1000,11
49,-44.11764705882353,-255.0,1000,11
57,97.05882352941177,-255.0,1000,11
63,202.94117647058826,-255.0,1000,11
64,220.58823529411765,-255.0,1000,11
69,-291.1764705882353,-225.0,1000,11
79,-114.70588235294119,-225.0,1000,11
80,-97.05882352941177,-225.0,1000,11
82,-61.76470588235294,-225.0,1000,11
84,-26.47058823529412,-225.0,1000,11
92,114.70588235294119,-225.0,1000,11
97,202.94117647058826,-225.0,1000,11
98,220.58823529411765,-225.0,1000,11
100,255.8823529411765,-225.0,1000,11
103,-291.1764705882353,-195.0,1000,11
104,-273.5294117647059,-195.0,1000,11
118,-26.47058823529412,-195.0,1000,11
124,79.41176470588236,-195.0,1000,11
128,150.0,-195.0,1000,11
130,185.29411764705884,-195.0,1000,11
137,-291.1764705882353,-165.0,1000,11
141,-220.58823529411765,-165.0,1000,11
143,-185.29411764705884,-165.0,1000,11
144,-167.64705882352942,-165.0,1000,11
147,-114.70588235294119,-165.0,1000,11
149,-79.41176470588236,-165.0,1000,11
160,114.70588235294119,-165.0,1000,11
162,150.0,-165.0,1000,11
166,220.58823529411765,-165.0,1000,11
168,255.8823529411765,-165.0,1000,11
171,-291.1764705882353,-135.0,1000,11
174,-238.23529411764707,-135.0,1000,11
176,-202.94117647058826,-135.0,1000,11
179,-150.0,-135.0,1000,11
198,185.29411764705884,-135.0,1000,11
209,-220.58823529411765,-105.0,1000,11
216,-97.05882352941177,-105.0,1000,11
217,-79.41176470588236,-105.0,1000,11
220,-26.47058823529412,-105.0,1000,11
221,-8.823529411764707,-105.0,1000,11
225,61.76470588235294,-105.0,1000,11
228,114.70588235294119,-105.0,1000,11
232,185.29411764705884,-105.0,1000,11
244,-202.94117647058826,-75.0,1000,11
247,-150.0,-75.0,1000,11
256,8.823529411764707,-75.0,1000,11
260,79.41176470588236,-75.0,1000,11
261,97.05882352941177,-75.0,1000,11
267,202.94117647058826,-75.0,1000,11
268,220.58823529411765,-75.0,1000,11
272,291.1764705882353,-75.0,1000,11
276,-238.23529411764707,-45.0,1000,11
281,-150.0,-45.0,1000,11
286,-61.76470588235294,-45.0,1000,11
290,8.823529411764707,-45.0,1000,11
292,44.11764705882353,-45.0,1000,11
297,132.3529411764706,-45.0,1000,11
304,255.8823529411765,-45.0,1000,11
309,-255.8823529411765,-15.0,1000,11
310,-238.23529411764707,-15.0,1000,11
330,114.70588235294119,-15.0,1000,11
334,185.29411764705884,-15.0,1000,11
339,273.5294117647059,-15.0,1000,11
341,-291.1764705882353,15.0,1000,11
345,-220.58823529411765,15.0,1000,11
350,-132.3529411764706,15.0,1000,11
352,-97.05882352941177,15.0,1000,11
361,61.76470588235294,15.0,1000,11
362,79.41176470588236,15.0,1000,11
363,97.05882352941177,15.0,1000,11
365,132.3529411764706,15.0,1000,11
366,150.0,15.0,1000,11
368,185.29411764705884,15.0,1000,11
373,273.5294117647059,15.0,1000,11
380,-202.94117647058826,45.0,1000,11
381,-185.29411764705884,45.0,1000,11
384,-132.3529411764706,45.0,1000,11
385,-114.70588235294119,45.0,1000,11
387,-79.41176470588236,45.0,1000,11
388,-61.76470588235294,45.0,1000,11
389,-44.11764705882353,45.0,1000,11
390,-26.47058823529412,45.0,1000,11
398,114.70588235294119,45.0,1000,11
411,-255.8823529411765,75.0,1000,11
425,-8.823529411764707,75.0,1000,11
428,44.11764705882353,75.0,1000,11
430,79.41176470588236,75.0,1000,11
438,220.58823529411765,75.0,1000,11
444,-273.5294117647059,105.0,1000,11
445,-255.8823529411765,105.0,1000,11
449,-185.29411764705884,105.0,1000,11
454,-97.05882352941177,105.0,1000,11
465,97.05882352941177,105.0,1000,11
471,202.94117647058826,105.0,1000,11
484,-167.64705882352942,135.0,1000,11
486,-132.3529411764706,135.0,1000,11
494,8.823529411764707,135.0,1000,11
497,61.76470588235294,135.0,1000,11
498,79.41176470588236,135.0,1000,11
500,114.70588235294119,135.0,1000,11
504,185.29411764705884,135.0,1000,11
512,-273.5294117647059,165.0,1000,11
522,-97.05882352941177,165.0,1000,11
533,97.05882352941177,165.0,1000,11
539,202.94117647058826,165.0,1000,11
541,238.23529411764707,165.0,1000,11
542,255.8823529411765,165.0,1000,11
543,273.5294117647059,165.0,1000,11
545,-291.1764705882353,195.0,1000,11
547,-255.8823529411765,195.0,1000,11
549,-220.58823529411765,195.0,1000,11
557,-79.41176470588236,195.0,1000,11
560,-26.47058823529412,195.0,1000,11
561,-8.823529411764707,195.0,1000,11
562,8.823529411764707,195.0,1000,11
563,26.47058823529412,195.0,1000,11
565,61.76470588235294,195.0,1000,11
574,220.58823529411765,195.0,1000,11
576,255.8823529411765,195.0,1000,11
578,291.1764705882353,195.0,1000,11
594,-26.47058823529412,225.0,1000,11
604,150.0,225.0,1000,11
608,220.58823529411765,225.0,1000,11
611,273.5294117647059,225.0,1000,11
618,-202.94117647058826,255.0,1000,11
620,-167.64705882352942,255.0,1000,11
624,-97.05882352941177,255.0,1000,11
625,-79.41176470588236,255.0,1000,11
626,-61.76470588235294,255.0,1000,11
638,150.0,255.0,1000,11
640,185.29411764705884,255.0,1000,11
642,220.58823529411765,255.0,1000,11
643,238.23529411764707,255.0,1000,11
649,-255.8823529411765,285.0,1000,11
655,-150.0,285.0,1000,11
660,-61.76470588235294,285.0,1000,11
663,-8.823529411764707,285.0,1000,11
670,114.70588235294119,285.0,1000,11
673,167.64705882352942,285.0,1000,11
674,185.29411764705884,285.0,1000,11
675,202.94117647058826,285.0,1000,11
