probe_number,X,Y,Z
9,-150.0,-285.0,1000
17,-8.823529411764707,-285.0,1000
23,97.05882352941177,-285.0,1000
24,114.70588235294119,-285.0,1000
34,291.1764705882353,-285.0,1000
47,-79.41176470588236,-255.0,1000
49,-44.11764705882353,-255.0,1000
63,202.94117647058826,-255.0,1000
64,220.58823529411765,-255.0,1000
68,291.1764705882353,-255.0,1000
70,-273.5294117647059,-225.0,1000
77,-150.0,-225.0,1000
79,-114.70588235294119,-225.0,1000
81,-79.41176470588236,-225.0,1000
82,-61.76470588235294,-225.0,1000
87,26.47058823529412,-225.0,1000
89,61.76470588235294,-225.0,1000
90,79.41176470588236,-225.0,1000
93,132.3529411764706,-225.0,1000
103,-291.1764705882353,-195.0,1000
105,-255.8823529411765,-195.0,1000
113,-114.70588235294119,-195.0,1000
114,-97.05882352941177,-195.0,1000
116,-61.76470588235294,-195.0,1000
122,44.11764705882353,-195.0,1000
124,79.41176470588236,-195.0,1000
129,167.64705882352942,-195.0,1000
144,-167.64705882352942,-165.0,1000
146,-132.3529411764706,-165.0,1000
156,44.11764705882353,-165.0,1000
157,61.76470588235294,-165.0,1000
161,132.3529411764706,-165.0,1000
162,150.0,-165.0,1000
174,-238.23529411764707,-135.0,1000
176,-202.94117647058826,-135.0,1000
177,-185.29411764705884,-135.0,1000
180,-132.3529411764706,-135.0,1000
184,-61.76470588235294,-135.0,1000
187,-8.823529411764707,-135.0,1000
195,132.3529411764706,-135.0,1000
196,150.0,-135.0,1000
206,-273.5294117647059,-105.0,1000
207,-255.8823529411765,-105.0,1000
210,-202.94117647058826,-105.0,1000
221,-8.823529411764707,-105.0,1000
224,44.11764705882353,-105.0,1000
225,61.76470588235294,-105.0,1000
228,114.70588235294119,-105.0,1000
229,132.3529411764706,-105.0,1000
230,150.0,-105.0,1000
237,273.5294117647059,-105.0,1000
239,-291.1764705882353,-75.0,1000
240,-273.5294117647059,-75.0,1000
251,-79.41176470588236,-75.0,1000
256,8.823529411764707,-75.0,1000
269,238.23529411764707,-75.0,1000
275,-255.8823529411765,-45.0,1000
278,-202.94117647058826,-45.0,1000
281,-150.0,-45.0,1000
285,-79.41176470588236,-45.0,1000
294,79.41176470588236,-45.0,1000
300,185.29411764705884,-45.0,1000
303,238.23529411764707,-45.0,1000
316,-132.3529411764706,-15.0,1000
321,-44.11764705882353,-15.0,1000
331,132.3529411764706,-15.0,1000
333,167.64705882352942,-15.0,1000
342,-273.5294117647059,15.0,1000
346,-202.94117647058826,15.0,1000
348,-167.64705882352942,15.0,1000
365,132.3529411764706,15.0,1000
378,-238.23529411764707,45.0,1000
387,-79.41176470588236,45.0,1000
395,61.76470588235294,45.0,1000
404,220.58823529411765,45.0,1000
410,-273.5294117647059,75.0,1000
432,114.70588235294119,75.0,1000
449,-185.29411764705884,105.0,1000
451,-150.0,105.0,1000
457,-44.11764705882353,105.0,1000
463,61.76470588235294,105.0,1000
464,79.41176470588236,105.0,1000
468,150.0,105.0,1000
473,238.23529411764707,105.0,1000
475,273.5294117647059,105.0,1000
476,291.1764705882353,105.0,1000
496,44.11764705882353,135.0,1000
504,185.29411764705884,135.0,1000
505,202.94117647058826,135.0,1000
507,238.23529411764707,135.0,1000
516,-202.94117647058826,165.0,1000
521,-114.70588235294119,165.0,1000
524,-61.76470588235294,165.0,1000
525,-44.11764705882353,165.0,1000
526,-26.47058823529412,165.0,1000
530,44.11764705882353,165.0,1000
538,185.29411764705884,165.0,1000
540,220.58823529411765,165.0,1000
541,238.23529411764707,165.0,1000
545,-291.1764705882353,195.0,1000
547,-255.8823529411765,195.0,1000
551,-185.29411764705884,195.0,1000
556,-97.05882352941177,195.0,1000
558,-61.76470588235294,195.0,1000
560,-26.47058823529412,195.0,1000
567,97.05882352941177,195.0,1000
574,220.58823529411765,195.0,1000
577,273.5294117647059,195.0,1000
585,-185.29411764705884,225.0,1000
590,-97.05882352941177,225.0,1000
596,8.823529411764707,225.0,1000
598,44.11764705882353,225.0,1000
600,79.41176470588236,225.0,1000
606,185.29411764705884,225.0,1000
608,220.58823529411765,225.0,1000
609,238.23529411764707,225.0,1000
615,-255.8823529411765,255.0,1000
624,-97.05882352941177,255.0,1000
640,185.29411764705884,255.0,1000
641,202.94117647058826,255.0,1000
647,-291.1764705882353,285.0,1000
659,-79.41176470588236,285.0,1000
669,97.05882352941177,285.0,1000
671,132.3529411764706,285.0,1000
672,150.0,285.0,1000
673,167.64705882352942,285.0,1000
677,238.23529411764707,285.0,1000
678,255.8823529411765,285.0,1000
680,291.1764705882353,285.0,1000
